node_id: 2 || GPS-la: 21 lo: 22 || food_eaten: 0 || msg_id: 675220580
node_id: 1 || GPS-la: 11 lo: 12 || food_eaten: 0 || msg_id: 2021762716
node_id: 2 || GPS-la: 21 lo: 22 || food_eaten: 0 || msg_id: 2055914119
node_id: 1 || GPS-la: 11 lo: 12 || food_eaten: 0 || msg_id: 781898059
node_id: 2 || GPS-la: 21 lo: 22 || food_eaten: 0 || msg_id: 334526617
node_id: 1 || GPS-la: 11 lo: 12 || food_eaten: 0 || msg_id: 1238096886
node_id: 2 || GPS-la: 21 lo: 22 || food_eaten: 0 || msg_id: 1452755398
node_id: 1 || GPS-la: 11 lo: 12 || food_eaten: 0 || msg_id: 109684099
node_id: 2 || GPS-la: 21 lo: 22 || food_eaten: 0 || msg_id: 1216221390
node_id: 1 || GPS-la: 11 lo: 12 || food_eaten: 0 || msg_id: 1734849312
node_id: 1 || GPS-la: 11 lo: 12 || food_eaten: 0 || msg_id: 2118297036
node_id: 2 || GPS-la: 21 lo: 22 || food_eaten: 0 || msg_id: 903812725
node_id: 1 || GPS-la: 11 lo: 12 || food_eaten: 0 || msg_id: 944283032
node_id: 2 || GPS-la: 21 lo: 22 || food_eaten: 0 || msg_id: 1663545652
node_id: 1 || GPS-la: 11 lo: 12 || food_eaten: 0 || msg_id: 1901225353
node_id: 2 || GPS-la: 21 lo: 22 || food_eaten: 0 || msg_id: 530639231
node_id: 3 || GPS-la: 31 lo: 32 || food_eaten: 0 || msg_id: 983558404
node_id: 2 || GPS-la: 21 lo: 22 || food_eaten: 0 || msg_id: 403551354
node_id: 1 || GPS-la: 11 lo: 12 || food_eaten: 0 || msg_id: 1818254787
node_id: 3 || GPS-la: 31 lo: 32 || food_eaten: 0 || msg_id: 923299333
node_id: 2 || GPS-la: 21 lo: 22 || food_eaten: 0 || msg_id: 679452262
node_id: 1 || GPS-la: 11 lo: 12 || food_eaten: 0 || msg_id: 1442462330
node_id: 3 || GPS-la: 31 lo: 32 || food_eaten: 0 || msg_id: 1982433762
node_id: 2 || GPS-la: 21 lo: 22 || food_eaten: 0 || msg_id: 1039219911
node_id: 1 || GPS-la: 11 lo: 12 || food_eaten: 0 || msg_id: 1121112290
node_id: 2 || GPS-la: 21 lo: 22 || food_eaten: 0 || msg_id: 968136350
node_id: 3 || GPS-la: 31 lo: 32 || food_eaten: 0 || msg_id: 878600506
node_id: 1 || GPS-la: 11 lo: 12 || food_eaten: 0 || msg_id: 737655936
node_id: 2 || GPS-la: 21 lo: 22 || food_eaten: 0 || msg_id: 481714230
node_id: 3 || GPS-la: 31 lo: 32 || food_eaten: 0 || msg_id: 469245207
node_id: 1 || GPS-la: 11 lo: 12 || food_eaten: 0 || msg_id: 112302243
node_id: 2 || GPS-la: 21 lo: 22 || food_eaten: 0 || msg_id: 32865319
node_id: 3 || GPS-la: 31 lo: 32 || food_eaten: 0 || msg_id: 1290008960
node_id: 1 || GPS-la: 11 lo: 12 || food_eaten: 0 || msg_id: 1372864179
node_id: 2 || GPS-la: 21 lo: 22 || food_eaten: 0 || msg_id: 964089541
node_id: 1 || GPS-la: 11 lo: 12 || food_eaten: 0 || msg_id: 1791364925
node_id: 2 || GPS-la: 21 lo: 22 || food_eaten: 0 || msg_id: 111528317
node_id: 2 || GPS-la: 21 lo: 22 || food_eaten: 0 || msg_id: 1130073630
node_id: 1 || GPS-la: 11 lo: 12 || food_eaten: 0 || msg_id: 133868524
node_id: 2 || GPS-la: 21 lo: 22 || food_eaten: 0 || msg_id: 2138583760
